"crash_id","crash_datetime","crash_date","latitude","longitude","n_crash_reports","contains_fatality_words","contains_pedestrian_words","contains_matatu_words","contains_motorcycle_words"
2781,2017-07-28 20:28:09,2017-07-28,-1.26017541283689,36.8428304982982,3,0,0,0,0
2782,2017-08-01 07:03:09,2017-08-01,-1.379238,36.927857,4,0,0,0,0
2783,2017-08-01 10:10:50,2017-08-01,-1.2341507,36.8729868,4,0,0,1,0
2784,2017-08-01 10:20:50,2017-08-01,-1.24490055793731,36.8669287776353,7,0,0,0,0
2785,2017-08-01 11:44:30,2017-08-01,-1.261394,36.798591,2,0,0,0,0
2786,2017-08-01 18:07:01,2017-08-01,-1.2415755,36.6762995,2,0,0,0,0
2787,2017-08-02 00:14:51,2017-08-02,-1.30165332887993,36.8026667846999,4,1,0,0,0
2788,2017-08-02 19:11:44,2017-08-02,-1.2471454,36.81572135,3,0,0,0,0
2789,2017-08-03 07:38:05,2017-08-03,-1.3299045,36.870701,2,0,0,0,0
2790,2017-08-04 07:30:58,2017-08-04,-1.26306225,36.7649247,3,0,0,0,0
2791,2017-08-04 16:18:50,2017-08-04,-1.182002,36.937491,3,0,0,1,0
2792,2017-08-04 20:25:30,2017-08-04,-1.32856015,36.880783,2,0,0,0,0
2793,2017-08-04 20:33:10,2017-08-04,-1.23339059373452,36.8748135408856,5,0,0,0,0
2794,2017-08-04 21:57:10,2017-08-04,-1.3296185,36.872863,2,0,0,0,0
2795,2017-08-07 05:57:37,2017-08-07,-1.32336452891292,36.8443656936602,8,0,1,0,0
2796,2017-08-07 09:51:08,2017-08-07,-1.319292,36.837924,5,0,0,0,0
2797,2017-08-08 16:33:52,2017-08-08,-1.329731,36.871967,5,1,0,0,0
2798,2017-08-08 17:22:12,2017-08-08,-1.30209981197153,36.8252842839051,6,0,0,1,0
2799,2017-08-09 10:38:34,2017-08-09,-1.2154835,36.835102,2,1,0,0,0
2800,2017-08-10 09:00:17,2017-08-10,-1.532603,37.132015,2,0,0,0,0
2801,2017-08-13 10:51:06,2017-08-13,-1.3242185,36.797472,2,1,1,0,0
2802,2017-08-13 12:41:16,2017-08-13,-1.2045935,36.9162725,2,0,0,0,0
2803,2017-08-14 17:46:00,2017-08-14,-1.3312035,36.8601515,2,0,0,0,0
2804,2017-08-15 06:35:42,2017-08-15,-1.260067,36.843404,2,0,0,0,0
2805,2017-08-16 18:30:56,2017-08-16,-1.2118245,36.904905,3,0,0,0,0
2806,2017-08-17 06:44:18,2017-08-17,-1.27104685155082,36.8073958173408,4,0,0,0,0
2807,2017-08-18 07:28:21,2017-08-18,-1.310192125,36.89143125,3,0,0,0,0
2808,2017-08-18 07:35:51,2017-08-18,-1.258971,36.7792135,3,0,0,0,0
2809,2017-08-19 19:19:28,2017-08-19,-1.26794415800026,36.835399775133,4,1,0,1,0
2810,2018-05-09 06:50:54,2018-05-09,-1.3314415,36.88873,4,1,0,0,0
